,director_id,company_id,director,gender,company,edge
112,351.0,22.0,"Gary Owens",male,"Dragon Oil Plc",0.0
113,353.0,22.0,"Gavin O'Reilly",male,"Dragon Oil Plc",0.0
114,355.0,22.0,"Gearoid O'Dea",male,"Dragon Oil Plc",0.0
115,356.0,22.0,"Geoffrey Doherty",male,"Dragon Oil Plc",0.0
116,357.0,22.0,"Geoffrey Mc Clay",male,"Dragon Oil Plc",0.0
117,359.0,22.0,"Geoffrey Vance",male,"Dragon Oil Plc",0.0
118,360.0,22.0,"George David Golder",male,"Dragon Oil Plc",0.0
119,368.0,22.0,"Gerard Behan",male,"Dragon Oil Plc",0.0
120,370.0,22.0,"Gerard Fagan",male,"Dragon Oil Plc",0.0
121,371.0,22.0,"Gerard Flood",male,"Dragon Oil Plc",0.0
122,372.0,22.0,"Gerard Mc Gann",male,"Dragon Oil Plc",0.0
123,373.0,22.0,"Gerard O'Hanlon",male,"Dragon Oil Plc",0.0
124,374.0,22.0,"Gilbert Mccarthy",male,"Dragon Oil Plc",0.0
125,377.0,22.0,"Glen Lucken",male,"Dragon Oil Plc",0.0
126,381.0,22.0,"Graham O'Brien",male,"Dragon Oil Plc",0.0
127,386.0,22.0,"Hannah Josephine (Siobhan) Talbot",female,"Dragon Oil Plc",0.0
128,388.0,22.0,"Harry Stratford",male,"Dragon Oil Plc",0.0
129,390.0,22.0,"Heather-Ann Mcsharry",female,"Dragon Oil Plc",0.0
130,391.0,22.0,"Helen Kirkpatrick",female,"Dragon Oil Plc",0.0
131,392.0,22.0,"Henry Hamilton Rennison",male,"Dragon Oil Plc",0.0
132,394.0,22.0,"Henry Mcgarvey",male,"Dragon Oil Plc",0.0
133,395.0,22.0,"Henry Vincent Corbally",male,"Dragon Oil Plc",0.0
134,398.0,22.0,"Hugh Edward Mcguire",male,"Dragon Oil Plc",0.0
135,400.0,22.0,"Hugh James Mccutcheon",male,"Dragon Oil Plc",0.0
136,409.0,22.0,"Ian Curley",male,"Dragon Oil Plc",0.0
137,410.0,22.0,"Ian Dunleavy",male,"Dragon Oil Plc",0.0
138,412.0,22.0,"Ian George Craig",male,"Dragon Oil Plc",0.0
139,413.0,22.0,"Ian Ireland",male,"Dragon Oil Plc",0.0
140,414.0,22.0,"Ian Springett",male,"Dragon Oil Plc",0.0
141,417.0,22.0,"Irial Finan",male,"Dragon Oil Plc",0.0
142,430.0,22.0,"James C Kenny",male,"Dragon Oil Plc",0.0
143,432.0,22.0,"James Douglas Agnew",male,"Dragon Oil Plc",0.0
144,436.0,22.0,"James Jones",male,"Dragon Oil Plc",0.0
145,444.0,22.0,"James O'Dwyer",male,"Dragon Oil Plc",0.0
146,445.0,22.0,"James Osborne",male,"Dragon Oil Plc",0.0
147,454.0,22.0,"Jan Maarten De Jong",female,"Dragon Oil Plc",0.0
148,456.0,22.0,"Jeremiah Doheny",male,"Dragon Oil Plc",0.0
149,457.0,22.0,"Jeremiah Vincent Liston",male,"Dragon Oil Plc",0.0
150,459.0,22.0,"Jeremy John David Masding",male,"Dragon Oil Plc",0.0
151,462.0,22.0,"Jerome Joseph Kennedy",male,"Dragon Oil Plc",0.0
152,465.0,22.0,"Jim O'Hara",male,"Dragon Oil Plc",0.0
153,468.0,22.0,"Joan Garahy",female,"Dragon Oil Plc",0.0
154,469.0,22.0,"Joe Walsh",male,"Dragon Oil Plc",0.0
155,470.0,22.0,"Johan Thijs",male,"Dragon Oil Plc",0.0
156,472.0,22.0,"John Anthony Cotter",male,"Dragon Oil Plc",0.0
157,474.0,22.0,"John Bateson",male,"Dragon Oil Plc",0.0
158,477.0,22.0,"John Bowe",male,"Dragon Oil Plc",0.0
159,478.0,22.0,"John Brendan Mcguckian",male,"Dragon Oil Plc",0.0
160,480.0,22.0,"John Bryan",male,"Dragon Oil Plc",0.0
161,484.0,22.0,"John Callaghan",male,"Dragon Oil Plc",0.0
162,485.0,22.0,"John Carroll",male,"Dragon Oil Plc",0.0
163,491.0,22.0,"John Craven",male,"Dragon Oil Plc",0.0
164,493.0,22.0,"John Declan Mccourt",male,"Dragon Oil Plc",0.0
165,505.0,22.0,"John Gallagher",male,"Dragon Oil Plc",0.0
166,508.0,22.0,"John Hennessy",male,"Dragon Oil Plc",0.0
167,509.0,22.0,"John Hogan",male,"Dragon Oil Plc",0.0
168,512.0,22.0,"John Joseph Moloney",male,"Dragon Oil Plc",0.0
169,523.0,22.0,"John Murphy",male,"Dragon Oil Plc",0.0
170,535.0,22.0,"John Rockett",male,"Dragon Oil Plc",0.0
171,536.0,22.0,"John Roger Humber",male,"Dragon Oil Plc",0.0
172,539.0,22.0,"John Sheehan",male,"Dragon Oil Plc",0.0
173,542.0,22.0,"John Tracey",male,"Dragon Oil Plc",0.0
174,545.0,22.0,"John William Kennedy",male,"Dragon Oil Plc",0.0
175,550.0,22.0,"Joris Jeroen Brams",male,"Dragon Oil Plc",0.0
176,556.0,22.0,"Joseph Purcell",male,"Dragon Oil Plc",0.0
177,559.0,22.0,"Julie O'Neill",female,"Dragon Oil Plc",0.0
178,560.0,22.0,"Justin Phillip Crowley",male,"Dragon Oil Plc",1.0
179,561.0,22.0,"Justin Richard Loasby",male,"Dragon Oil Plc",0.0
180,563.0,22.0,"Keith James Phair",male,"Dragon Oil Plc",0.0
181,565.0,22.0,"Kenneth Kuchling",male,"Dragon Oil Plc",0.0
182,566.0,22.0,"Kenneth Neison",male,"Dragon Oil Plc",0.0
183,567.0,22.0,"Ken Slattery",male,"Dragon Oil Plc",0.0
184,568.0,22.0,"Kent Atkinson",male,"Dragon Oil Plc",0.0
185,569.0,22.0,"Kerr Anderson",male,"Dragon Oil Plc",0.0
186,570.0,22.0,"Kevin Barry",male,"Dragon Oil Plc",0.0
187,583.0,22.0,"Kieran Breen",male,"Dragon Oil Plc",0.0
188,584.0,22.0,"Kieran Francis Murphy",male,"Dragon Oil Plc",0.0
189,589.0,22.0,"Kirill Andreyevich Golovanov",male,"Dragon Oil Plc",0.0
190,591.0,22.0,"Kyran Mclaughlin",male,"Dragon Oil Plc",0.0
191,593.0,22.0,"Laurence Crowley",male,"Dragon Oil Plc",0.0
192,597.0,22.0,"Leonard John Patrick O'Hagan",male,"Dragon Oil Plc",0.0
193,598.0,22.0,"Leonid Pavlovich Skoptsov",male,"Dragon Oil Plc",0.0
194,599.0,22.0,"Leslie Buckley",female,"Dragon Oil Plc",0.0
195,604.0,22.0,"Liam Herlihy",male,"Dragon Oil Plc",0.0
196,607.0,22.0,"Linda Hickey",female,"Dragon Oil Plc",0.0
197,609.0,22.0,"Lorenzo Giuseppe Fraquelli",male,"Dragon Oil Plc",0.0
198,613.0,22.0,"Louise Phelan",female,"Dragon Oil Plc",0.0
199,614.0,22.0,"Louis Maguire",male,"Dragon Oil Plc",0.0
200,617.0,22.0,"Lucy Gaffney",female,"Dragon Oil Plc",0.0
201,618.0,22.0,"Maeve Catherine Carton",female,"Dragon Oil Plc",0.0
202,624.0,22.0,"Mark Bourke",male,"Dragon Oil Plc",0.0
203,625.0,22.0,"Mark Garvey",male,"Dragon Oil Plc",0.0
204,628.0,22.0,"Mark Towe",male,"Dragon Oil Plc",0.0
205,631.0,22.0,"Martin Keane",male,"Dragon Oil Plc",0.0
206,638.0,22.0,"Matt Mcnulty",male,"Dragon Oil Plc",0.0
207,639.0,22.0,"Matt Merrick",male,"Dragon Oil Plc",0.0
208,640.0,22.0,"Maureen Jones",female,"Dragon Oil Plc",0.0
209,646.0,22.0,"Mella Frewen",female,"Dragon Oil Plc",0.0
210,647.0,22.0,"Melvin Frederick Quiller",male,"Dragon Oil Plc",0.0
211,648.0,22.0,"Michael Anthony Mcnulty",male,"Dragon Oil Plc",0.0
212,649.0,22.0,"Michael Berkery",male,"Dragon Oil Plc",0.0
213,651.0,22.0,"Michael Cawley",male,"Dragon Oil Plc",0.0
214,652.0,22.0,"Michael Christian Pereira-Rego",male,"Dragon Oil Plc",0.0
215,653.0,22.0,"Michael Christopher Dowling",male,"Dragon Oil Plc",0.0
216,656.0,22.0,"Michael Donnelly",male,"Dragon Oil Plc",0.0
217,660.0,22.0,"Michael Francis Carvill",male,"Dragon Oil Plc",0.0
218,662.0,22.0,"Michael Griffin",male,"Dragon Oil Plc",0.0
219,663.0,22.0,"Michael Henry Nolan",male,"Dragon Oil Plc",0.0
220,664.0,22.0,"Michael J Donoghue",male,"Dragon Oil Plc",0.0
221,669.0,22.0,"Michael Joseph Mckenna",male,"Dragon Oil Plc",0.0
222,671.0,22.0,"Michael Keane",male,"Dragon Oil Plc",0.0
223,675.0,22.0,"Michael O'Leary",male,"Dragon Oil Plc",0.0
224,677.0,22.0,"Michael Patrick Horgan",male,"Dragon Oil Plc",0.0
225,678.0,22.0,"Michael Power",male,"Dragon Oil Plc",0.0
226,683.0,22.0,"Michael Teahan",male,"Dragon Oil Plc",0.0
227,686.0,22.0,"Mikhail Alexandrovich Mogutov",male,"Dragon Oil Plc",0.0
228,688.0,22.0,"Mohammed Al Ghurair",male,"Dragon Oil Plc",1.0
229,689.0,22.0,"Montie Brewer",male,"Dragon Oil Plc",0.0
230,691.0,22.0,"Myles Lee",male,"Dragon Oil Plc",0.0
231,701.0,22.0,"Nial Ring",male,"Dragon Oil Plc",0.0
232,702.0,22.0,"Nicanor Restrepo",male,"Dragon Oil Plc",0.0
233,705.0,22.0,"Nicholas Hartery",male,"Dragon Oil Plc",0.0
234,707.0,22.0,"Nicola Shaw",female,"Dragon Oil Plc",0.0
235,708.0,22.0,"Nigel Northridge",male,"Dragon Oil Plc",0.0
236,713.0,22.0,"Norman Witherow",male,"Dragon Oil Plc",0.0
237,714.0,22.0,"Oliver Tattan",male,"Dragon Oil Plc",0.0
238,716.0,22.0,"Owen Killian",male,"Dragon Oil Plc",0.0
239,719.0,22.0,"Padraig Mcmanus",male,"Dragon Oil Plc",0.0
240,720.0,22.0,"Padraig O Riordain",male,"Dragon Oil Plc",0.0
241,721.0,22.0,"Padraig Walshe",male,"Dragon Oil Plc",0.0
242,723.0,22.0,"Pascal Taggart",male,"Dragon Oil Plc",0.0
243,724.0,22.0,"Pat Butler",female,"Dragon Oil Plc",0.0
244,733.0,22.0,"Patrick Gerard Flahive",male,"Dragon Oil Plc",0.0
245,734.0,22.0,"Patrick Gleeson",male,"Dragon Oil Plc",0.0
246,735.0,22.0,"Patrick Haren",male,"Dragon Oil Plc",0.0
247,741.0,22.0,"Patrick Kelly",male,"Dragon Oil Plc",0.0
248,742.0,22.0,"Patrick Kennedy",male,"Dragon Oil Plc",0.0
249,746.0,22.0,"Patrick Mceniff",male,"Dragon Oil Plc",0.0
250,749.0,22.0,"Patrick Mulvihill",male,"Dragon Oil Plc",0.0
251,750.0,22.0,"Patrick Murphy",male,"Dragon Oil Plc",0.0
252,753.0,22.0,"Patrick O'Sullivan",male,"Dragon Oil Plc",0.0
253,754.0,22.0,"Patrick Purcell",male,"Dragon Oil Plc",0.0
254,756.0,22.0,"Patrick Ryan",male,"Dragon Oil Plc",0.0
255,758.0,22.0,"Patrick Vincent Landy",male,"Dragon Oil Plc",0.0
256,762.0,22.0,"Paul Carroll",male,"Dragon Oil Plc",0.0
257,765.0,22.0,"Paul Dowling",male,"Dragon Oil Plc",0.0
258,770.0,22.0,"Paul Haran",male,"Dragon Oil Plc",0.0
259,777.0,22.0,"Paul M Connolly",male,"Dragon Oil Plc",0.0
260,783.0,22.0,"Paul Stecko",male,"Dragon Oil Plc",0.0
261,790.0,22.0,"Peter Furlong",male,"Dragon Oil Plc",0.0
262,799.0,22.0,"Peter Lennon",male,"Dragon Oil Plc",0.0
263,800.0,22.0,"Peter Lynch",male,"Dragon Oil Plc",0.0
264,803.0,22.0,"Peter Priestley",male,"Dragon Oil Plc",0.0
265,807.0,22.0,"Peter Wilson",male,"Dragon Oil Plc",0.0
266,818.0,22.0,"Philip O'Quigley",male,"Dragon Oil Plc",0.0
267,820.0,22.0,"Philip Toomey",male,"Dragon Oil Plc",0.0
268,825.0,22.0,"Prem Wasta",male,"Dragon Oil Plc",0.0
269,830.0,22.0,"Richard Alexander Milliken",male,"Dragon Oil Plc",0.0
270,838.0,22.0,"Richard Holroyd",male,"Dragon Oil Plc",0.0
271,842.0,22.0,"Richard Thomas Walter Conroy",male,"Dragon Oil Plc",0.0
272,845.0,22.0,"Richie Boucher",male,"Dragon Oil Plc",0.0
273,847.0,22.0,"Robert Arnott",male,"Dragon Oil Plc",0.0
274,850.0,22.0,"Robert Fredrik Martin Adair",male,"Dragon Oil Plc",0.0
275,852.0,22.0,"Robert Graham Ferguson",male,"Dragon Oil Plc",0.0
276,854.0,22.0,"Robert Johnston",male,"Dragon Oil Plc",0.0
277,856.0,22.0,"Robert N Kennedy",male,"Dragon Oil Plc",0.0
278,857.0,22.0,"Robert O' Connell",male,"Dragon Oil Plc",0.0
279,858.0,22.0,"Roberto Newell",male,"Dragon Oil Plc",0.0
280,860.0,22.0,"Robin Phipps",female,"Dragon Oil Plc",0.0
281,863.0,22.0,"Roger Chaplin",male,"Dragon Oil Plc",0.0
282,864.0,22.0,"Roger Conan",male,"Dragon Oil Plc",0.0
283,876.0,22.0,"Rory Byrne",male,"Dragon Oil Plc",0.0
284,879.0,22.0,"Rose Hynes",female,"Dragon Oil Plc",0.0
285,880.0,22.0,"Rosemary P Thorne",female,"Dragon Oil Plc",0.0
286,881.0,22.0,"Rose Mchugh",female,"Dragon Oil Plc",0.0
287,886.0,22.0,"Russell Grant Shiels",male,"Dragon Oil Plc",0.0
288,888.0,22.0,"Ryan Cara",male,"Dragon Oil Plc",0.0
289,889.0,22.0,"Saeed Al Mazrooei",male,"Dragon Oil Plc",1.0
290,891.0,22.0,"Sam Mencoff",male,"Dragon Oil Plc",0.0
291,895.0,22.0,"Seamus Fitzpatrick",male,"Dragon Oil Plc",0.0
292,896.0,22.0,"Seamus Taaffe",male,"Dragon Oil Plc",0.0
293,898.0,22.0,"Sean Bugler",male,"Dragon Oil Plc",0.0
294,902.0,22.0,"Sean Dorgan",male,"Dragon Oil Plc",0.0
295,910.0,22.0,"Shane Reihill",male,"Dragon Oil Plc",0.0
296,915.0,22.0,"Sofia Bianchi",female,"Dragon Oil Plc",0.0
297,916.0,22.0,"Sorca Caitriona Conroy",female,"Dragon Oil Plc",0.0
298,917.0,22.0,"Stan Mccarthy",male,"Dragon Oil Plc",0.0
299,918.0,22.0,"Stephen Gerard Glancey",male,"Dragon Oil Plc",0.0
300,920.0,22.0,"Stephen Kenneth Smith",male,"Dragon Oil Plc",0.0
301,922.0,22.0,"Stephen Nicol",male,"Dragon Oil Plc",0.0
302,923.0,22.0,"Stephen Staley",male,"Dragon Oil Plc",0.0
303,925.0,22.0,"Stephen Vernon",male,"Dragon Oil Plc",0.0
304,926.0,22.0,"Steven Mctiernan",male,"Dragon Oil Plc",0.0
305,927.0,22.0,"Stewart Gilliland",male,"Dragon Oil Plc",0.0
306,928.0,22.0,"Stewart Harrington",male,"Dragon Oil Plc",0.0
307,929.0,22.0,"Stewart Kenny",male,"Dragon Oil Plc",0.0
308,932.0,22.0,"Terence Buckley",male,"Dragon Oil Plc",0.0
309,933.0,22.0,"Terence Fitzpatrick",male,"Dragon Oil Plc",0.0
310,934.0,22.0,"Terence Francis O'Rourke",male,"Dragon Oil Plc",0.0
311,939.0,22.0,"Thomas Brodin",male,"Dragon Oil Plc",0.0
312,949.0,22.0,"Thomas Moran",male,"Dragon Oil Plc",0.0
313,950.0,22.0,"Thomas O'Mahony",male,"Dragon Oil Plc",0.0
314,958.0,22.0,"Thom Wernink",male,"Dragon Oil Plc",0.0
315,959.0,22.0,"Thor Kristian Haugnaess",male,"Dragon Oil Plc",1.0
316,962.0,22.0,"Timothy Rand Mccutcheon",male,"Dragon Oil Plc",0.0
317,963.0,22.0,"Tom Considine",male,"Dragon Oil Plc",0.0
318,964.0,22.0,"Tom Grace",male,"Dragon Oil Plc",0.0
319,965.0,22.0,"Tom Hickey",male,"Dragon Oil Plc",0.0
320,966.0,22.0,"Tom Murphy",male,"Dragon Oil Plc",0.0
321,967.0,22.0,"Tom Purcell",male,"Dragon Oil Plc",0.0
322,969.0,22.0,"Tony Mccluskey",male,"Dragon Oil Plc",0.0
323,972.0,22.0,"Ulric Jerome",male,"Dragon Oil Plc",0.0
324,973.0,22.0,"Utz-Hellmuth Felcht",male,"Dragon Oil Plc",0.0
325,974.0,22.0,"Vakha Alvievich Sobraliev",male,"Dragon Oil Plc",0.0
326,979.0,22.0,"Vincent C. Crowley",male,"Dragon Oil Plc",0.0
327,980.0,22.0,"Vincent Gorman",male,"Dragon Oil Plc",0.0
328,982.0,22.0,"Vincent Sheridan",male,"Dragon Oil Plc",0.0
329,985.0,22.0,"Wilbur L Ross Jr",male,"Dragon Oil Plc",0.0
330,988.0,22.0,"William Carroll",male,"Dragon Oil Plc",0.0
331,991.0,22.0,"William Ignatius O'Mahony",male,"Dragon Oil Plc",0.0
332,1000.0,22.0,"William Nowlan",male,"Dragon Oil Plc",0.0
333,1001.0,22.0,"William Patrick Egan",male,"Dragon Oil Plc",0.0
334,1006.0,22.0,"William Slattery",male,"Dragon Oil Plc",0.0
335,1009.0,22.0,"Yuri Ivanovich Radchenko",male,"Dragon Oil Plc",0.0
336,1.0,30.0,"Abdul-Jaleel Al-Khalifa",male,"First Derivatives Plc - Esm",0.0
337,5.0,30.0,"Adrian Toner",male,"First Derivatives Plc - Esm",1.0
338,6.0,30.0,"Ahmad Buti Saeed Al Muhairbi",male,"First Derivatives Plc - Esm",0.0
339,7.0,30.0,"Ahmad Sharaf",male,"First Derivatives Plc - Esm",0.0
340,9.0,30.0,"Aidan Brogan",male,"First Derivatives Plc - Esm",0.0
341,17.0,30.0,"Alan Graham Martin",male,"First Derivatives Plc - Esm",0.0
342,18.0,30.0,"Alan John Parsley",male,"First Derivatives Plc - Esm",0.0
343,22.0,30.0,"Alan Mooney",male,"First Derivatives Plc - Esm",0.0
344,24.0,30.0,"Alan Ronald Cook",male,"First Derivatives Plc - Esm",0.0
345,29.0,30.0,"Albert Manifold",male,"First Derivatives Plc - Esm",0.0
346,38.0,30.0,"Allan Marshall",male,"First Derivatives Plc - Esm",0.0
347,43.0,30.0,"Andrew Elliott Macfarlane",male,"First Derivatives Plc - Esm",0.0
348,45.0,30.0,"Andrew Keating",male,"First Derivatives Plc - Esm",0.0
349,47.0,30.0,"Andrew Langford",male,"First Derivatives Plc - Esm",0.0
350,50.0,30.0,"Andrew Nicholas John Hay",male,"First Derivatives Plc - Esm",0.0
351,53.0,30.0,"Anne Heraty",female,"First Derivatives Plc - Esm",0.0
352,60.0,30.0,"Anthony Carragher",male,"First Derivatives Plc - Esm",0.0
353,63.0,30.0,"Anthony James Kelly",male,"First Derivatives Plc - Esm",0.0
354,67.0,30.0,"Anthony Lowrie",male,"First Derivatives Plc - Esm",0.0
355,72.0,30.0,"Anthony Paul James Smurfit",male,"First Derivatives Plc - Esm",0.0
356,73.0,30.0,"Anthony Stephen Gill",male,"First Derivatives Plc - Esm",0.0
357,75.0,30.0,"Antonio Guadelupe Prado",male,"First Derivatives Plc - Esm",0.0
358,76.0,30.0,"Archie Kane",male,"First Derivatives Plc - Esm",0.0
359,82.0,30.0,"Benjamin Joseph Conte",male,"First Derivatives Plc - Esm",0.0
360,91.0,30.0,"Brad Martin",male,"First Derivatives Plc - Esm",0.0
361,92.0,30.0,"Breege O'Donoghue",female,"First Derivatives Plc - Esm",0.0
